index,IN,lat,lon
406,3887.0,40.580454,-73.837459
407,18008.0,40.63615,-73.978179
408,14846.0,40.625305,-73.975732
409,10080.0,40.620907,-73.975453
410,21874.0,40.615174,-73.974166
411,19220.0,40.609147,-73.972986
412,17684.0,40.596065,-73.973329
413,10807.0,40.580992,-73.974531
414,12401.0,40.843635,-73.836687
415,20731.0,40.846817,-73.832545
416,43743.0,40.852465,-73.828125
417,19191.0,40.858973,-73.855355
418,27998.0,40.888244,-73.83085
419,21158.0,40.682867,-73.91048
420,16359.0,40.677107,-73.898871
421,19289.0,40.678018,-73.891726
422,21946.0,40.679938,-73.884687
423,23079.0,40.681598,-73.880074
424,31787.0,40.683209,-73.873765
425,37514.0,40.678815,-73.920801
426,36289.0,40.67836,-73.911939
427,17917.0,40.674552,-73.896554
428,20768.0,40.672786,-73.890438
429,22007.0,40.674161,-73.880761
430,46009.0,40.839301,-73.913355
431,22701.0,40.898382,-73.854389
432,49000.0,40.810512,-73.926165
433,40195.0,40.808044,-73.919234
434,24837.0,40.805737,-73.914471
435,7387.0,40.808742,-73.90769
436,30253.0,40.812104,-73.904085
437,21340.0,40.816083,-73.89606
438,43951.0,40.656648,-73.950198
439,256246.0,40.778575,-73.981912
440,48388.0,40.742981,-73.992727
441,6432.0,40.665405,-73.992877
442,5568.0,40.66043,-73.997944
443,16998.0,40.690545,-73.985065
444,85037.0,40.708377,-73.957751
445,146879.0,40.725297,-73.996204
446,83651.0,40.718697,-74.000977
447,131949.0,40.718697,-74.000977
448,12497.0,40.668221,-73.834026
449,32377.0,40.761268,-73.964016
450,28119.0,40.7574,-73.954006
451,842.0,40.660476,-73.830301
452,16584.0,40.643942,-73.782356
453,222917.0,40.711638,-74.010708
454,191926.0,40.748931,-73.988113
455,52092.0,40.742933,-73.992909
456,90767.0,40.716737,-74.033024
457,46276.0,40.738879,-74.155533
458,-1019878.0,40.737434,-73.996785
464,-579112.0,40.719876,-74.042616
465,124957.0,40.732102,-74.063915
